name,description,price,category,type,image,seller_id,status
"Casio Vintage Watch","Classic silver digital watch in good condition",35.99,"Watches",buy_now,"https://picsum.photos/seed/1/400","user_001",active
"TI-84 Calculator","Scientific calculator perfect for engineering students",49.50,"Electronics",buy_now,"https://picsum.photos/seed/2/400","user_002",active
"Gaming Mouse","RGB gaming mouse with adjustable DPI",22.00,"Electronics",negotiation,"https://picsum.photos/seed/3/400","user_003",active
"Desk Lamp","LED study desk lamp with brightness control",18.75,"Home",buy_now,"https://picsum.photos/seed/4/400","user_004",active
"Vintage Hoodie","Oversized black hoodie barely used",27.99,"Fashion",negotiation,"https://picsum.photos/seed/5/400","user_005",active
"iPad 9th Gen","64GB iPad ideal for notes and streaming",250.00,"Electronics",auction,"https://picsum.photos/seed/6/400","user_006",active
"Acoustic Guitar","Beginner-friendly acoustic guitar with bag",89.99,"Music",negotiation,"https://picsum.photos/seed/7/400","user_007",active
"Bike Helmet","Safety helmet for cycling around campus",15.00,"Sports",buy_now,"https://picsum.photos/seed/8/400","user_008",active
"Mini Fridge","Compact fridge suitable for dorm rooms",120.00,"Home",auction,"https://picsum.photos/seed/9/400","user_009",active
"Python Programming Book","Beginner to advanced Python guide",12.99,"Books",buy_now,"https://picsum.photos/seed/10/400","user_010",active
"Basketball Shoes","Nike basketball shoes size 43",65.00,"Fashion",negotiation,"https://picsum.photos/seed/11/400","user_011",active
"Bluetooth Speaker","Portable waterproof speaker",39.90,"Electronics",buy_now,"https://picsum.photos/seed/12/400","user_012",active
"Digital Camera","Canon DSLR with kit lens",320.00,"Electronics",auction,"https://picsum.photos/seed/13/400","user_013",active
"Study Chair","Ergonomic chair for long study sessions",55.00,"Furniture",buy_now,"https://picsum.photos/seed/14/400","user_014",active
"Anime Wall Art","Set of 3 framed anime posters",20.00,"Art",negotiation,"https://picsum.photos/seed/15/400","user_015",active
"Mechanical Keyboard","Blue switch RGB keyboard",45.00,"Electronics",buy_now,"https://picsum.photos/seed/16/400","user_016",active
"Monitor Stand","Wooden monitor riser for desks",14.99,"Home",buy_now,"https://picsum.photos/seed/17/400","user_017",active
"MacBook Air Sleeve","Protective laptop sleeve 13-inch",10.00,"Accessories",buy_now,"https://picsum.photos/seed/18/400","user_018",active
"Wireless Earbuds","Noise cancelling earbuds",59.99,"Electronics",negotiation,"https://picsum.photos/seed/19/400","user_019",active
"Skateboard","Cruiser skateboard for commuting",42.00,"Sports",auction,"https://picsum.photos/seed/20/400","user_020",active
"Bean Bag","Comfortable bean bag chair",30.00,"Furniture",buy_now,"https://picsum.photos/seed/21/400","user_021",active
"French Learning Book","Grammar exercises for beginners",9.50,"Books",buy_now,"https://picsum.photos/seed/22/400","user_022",active
"Air Fryer","Compact air fryer for dorm cooking",75.00,"Home",auction,"https://picsum.photos/seed/23/400","user_023",active
"Coffee Maker","Single cup coffee machine",28.00,"Home",buy_now,"https://picsum.photos/seed/24/400","user_024",active
"Smart Watch","Fitness tracking smartwatch",85.00,"Watches",negotiation,"https://picsum.photos/seed/25/400","user_025",active
"LED Strip Lights","RGB lights for bedroom decor",16.00,"Home",buy_now,"https://picsum.photos/seed/26/400","user_026",active
"Graphic Tablet","Drawing tablet for digital art",110.00,"Art",auction,"https://picsum.photos/seed/27/400","user_027",active
"Chemistry Notes","Complete first-year chemistry notes",8.00,"Books",buy_now,"https://picsum.photos/seed/28/400","user_028",active
"Football Boots","Adidas football boots size 42",48.00,"Sports",negotiation,"https://picsum.photos/seed/29/400","user_029",active
"External Hard Drive","1TB portable hard drive",50.00,"Electronics",buy_now,"https://picsum.photos/seed/30/400","user_030",active
"Electric Kettle","Fast boiling electric kettle",19.99,"Home",buy_now,"https://picsum.photos/seed/31/400","user_031",active
"Office Backpack","Water-resistant laptop backpack",35.00,"Fashion",buy_now,"https://picsum.photos/seed/32/400","user_032",active
